-29	-552	65	-764	-4000	2046	4000	-4000
-132	-1025	-6	-1327	-4000	1929	4000	-4000
-58	-427	122	-865	-3785	1638	4000	-4000
4	-188	135	-401	-539	1344	4000	-4000
-103	-164	116	236	1515	1287	4000	-4000
-207	-264	-17	233	-608	853	4000	-4000
-200	-10	-111	437	-4000	365	4000	-4000
101	642	-133	219	-4000	-326	4000	-4000
196	648	33	10	-4000	-1104	4000	-4000
74	449	212	-16	-4000	-1587	4000	-4000
-2	270	213	42	-4000	-2037	4000	-4000
-55	-314	211	-44	-4000	-2446	4000	-4000
-79	-570	79	255	-4000	-2534	4000	-4000
-109	-898	59	561	-3718	-2664	336	-4000
-128	-765	9	207	-967	-2754	-4000	-4000
-36	542	-50	97	-1548	-2703	-4000	-4000
256	1159	-12	191	-4000	-2791	-4000	-2401
351	933	-79	218	-4000	-2872	-4000	-987
128	771	-163	88	-3055	-2857	-4000	1258
-38	837	-107	496	-138	-2575	-4000	2445
-164	590	10	299	4000	-2107	-4000	3161
-218	-440	-167	-538	4000	-1546	-4000	3287
188	120	-83	-651	4000	-1116	-4000	3195
565	979	223	-136	4000	-792	-4000	3207
257	444	253	587	4000	-531	-4000	2935
25	120	145	624	4000	-283	-4000	3144
71	-771	24	219	4000	6	-4000	2051
98	-427	73	255	4000	270	-4000	1069
97	-851	-11	80	4000	494	-4000	1561
-53	-928	-32	-200	4000	673	-4000	1531
-38	477	2	-484	4000	831	-4000	1199
-23	328	-68	-328	4000	990	-2614	825
42	526	-49	245	4000	1053	-485	-144
137	29	-112	206	4000	823	69	-1296
28	-310	-192	-32	4000	391	1019	-3414
32	148	-84	62	4000	-166	1516	-4000
-94	43	40	329	4000	-785	495	-4000
-169	420	5	72	4000	-1005	-1197	-4000
-47	941	63	-344	4000	-700	-4000	-4000
-142	17	6	-137	4000	-312	-4000	-4000
-183	-1216	-29	286	4000	-312	-4000	-3284
6	-1204	30	410	4000	-685	-1915	-3058
108	-383	-17	375	4000	-867	1187	-3319
-164	-373	4	75	4000	-976	3205	-3113
-205	-199	40	-205	4000	-1221	4000	-1884
-38	472	74	34	4000	-1249	4000	-11
-258	294	-71	-22	4000	-1095	4000	1411
-132	717	-160	-357	4000	-920	3268	3521
238	-148	-127	-436	4000	-867	380	4000
277	-194	-42	-275	4000	-656	-1903	4000
64	537	-25	-458	4000	-27	-2343	4000
110	347	-25	-695	4000	716	-2496	4000
101	590	144	-140	4000	1070	-3792	4000
-65	19	199	232	2748	997	-4000	4000
76	12	238	417	898	801	-4000	4000
-43	-278	23	-38	-533	563	-4000	4000
-240	-765	-26	-167	-787	441	-3977	4000
-388	-858	-3	-54	91	327	-1551	4000
-175	-194	-55	-152	546	246	166	4000
346	1396	-30	-10	1964	101	1516	4000
386	1063	-100	150	4000	-202	3838	4000
