139	-310	-4000	-114	1824	-1171	-4000	1533
798	-203	-4000	-318	3013	-1010	-4000	1597
1616	-78	-4000	-514	2813	-945	-4000	1598
1832	-66	-3935	-695	253	-912	-4000	1598
3514	-116	-2737	-724	-215	-875	-4000	1598
4000	-103	-1488	-812	1242	-802	-4000	1566
3560	-52	-362	-914	4000	-932	-4000	1533
1043	-65	2158	-591	4000	-1005	-4000	1561
-966	-85	4000	-283	4000	-940	-4000	1533
-2541	-40	4000	-120	1734	-1062	-4000	1476
-3001	-27	4000	130	-429	-1221	-4000	1417
-3489	-16	4000	191	-4000	-1316	-3664	1382
-3605	-73	4000	276	-4000	-1259	-3312	1346
-3163	-179	3629	227	-4000	-1261	-2109	1338
-2517	-314	1961	29	-4000	-1375	-1853	1307
-1723	-448	899	-22	-3213	-1290	-1523	1199
-674	-406	31	140	-1357	-1171	-1034	1207
312	-232	-1106	245	-3001	-1093	-1050	1264
1081	-173	-1882	335	-3148	-1070	626	1281
2328	-93	-1386	472	-2740	-991	1650	1325
2667	47	-22	386	-4000	-796	1866	1346
2601	48	1150	362	-4000	-718	2048	1395
3495	53	1436	178	-4000	-724	1866	1445
4000	48	1379	128	-4000	-706	1996	1460
4000	87	1184	223	-4000	-662	1129	1468
2790	107	764	115	-4000	-680	131	1566
74	43	149	209	-4000	-779	-619	1598
-2676	43	-1075	272	-4000	-722	185	1533
-4000	58	-2240	263	-4000	-659	2031	1391
-4000	71	-2735	206	-3653	-662	3268	1269
-4000	180	-2737	142	-3995	-589	4000	1138
-4000	224	-2667	139	-4000	-499	4000	1026
-4000	12	-2708	22	-4000	-264	4000	932
-4000	-19	-2710	-112	-3839	-115	3738	800
-1935	221	-2227	-198	-1333	-86	3168	695
1962	213	-1746	-185	339	-68	2711	604
4000	106	-1476	-84	2516	-112	3038	547
4000	45	-833	-147	4000	-35	3738	475
4000	-60	-2	-192	4000	2	3661	369
2648	-26	882	-151	4000	-12	3838	279
746	54	1509	-132	3659	-10	3475	221
-1194	93	1747	-29	3284	-41	2907	154
-2228	152	1639	69	3297	-15	2297	67
-2129	67	1379	105	3410	-47	1866	-31
-1365	16	911	15	4000	6	1569	-136
-1149	51	325	-50	4000	43	1084	-292
-1296	119	-314	-159	4000	72	1280	-415
-1235	117	-1085	-271	4000	134	1441	-540
-1410	21	-1101	-301	4000	189	1441	-659
-288	-23	-637	-315	4000	290	1278	-793
52	-60	-213	-287	2710	319	336	-931
567	-79	372	-238	1905	355	-473	-1070
1726	-111	903	-132	2320	325	-290	-1245
3070	-122	1161	-127	2316	260	74	-1404
3330	-102	957	-159	230	171	-50	-1577
2648	-19	484	-159	-898	66	-334	-1723
2987	57	280	-156	-14	-19	-485	-1902
3200	30	-92	-133	-1096	-14	25	-2034
3184	60	-372	-151	-1263	-16	-275	-2169
