-66	6	1	-48	-17	-11	120	-60
-60	74	-27	-68	-14	25	119	-80
-119	25	-26	-66	-40	17	98	-54
-164	94	-8	-66	-36	31	95	-66
-183	124	-38	-54	-68	37	95	-47
-260	93	-26	-61	-51	22	77	-54
-461	13	-2	-33	-41	-11	85	-32
-559	-117	-7	-41	-31	16	105	-31
-477	-181	-13	-38	-22	27	97	-30
-279	-198	-1	-31	-33	0	102	-5
-127	-174	-10	-41	-23	5	93	-37
-8	-152	-16	-35	-42	-9	120	-3
42	-131	-25	-31	-26	-17	120	-1
-45	-133	-21	-30	-27	-14	109	11
-82	-97	-11	-20	-26	-16	114	16
-97	-50	-36	-24	-11	-13	97	12
-46	5	-29	-14	-8	-5	102	31
-30	19	-1	0	4	4	116	23
15	21	-26	-10	14	1	107	22
116	43	-1	-14	35	0	132	43
104	-5	-10	-18	25	-3	181	70
122	-44	-30	-4	20	-11	168	47
151	-63	3	-5	77	23	183	60
164	-80	-5	-15	85	35	179	68
215	-111	3	-30	73	20	165	79
307	-60	-5	-36	97	54	158	94
304	17	-14	-8	81	37	111	77
260	127	-5	-14	77	48	89	98
74	201	3	-9	106	78	64	121
-181	174	-2	28	94	45	47	100
-351	160	-11	23	104	25	28	104
-474	136	11	10	117	40	23	100
-482	126	2	14	71	47	-4	104
-409	69	-9	-4	55	35	-46	108
-266	69	7	0	68	32	-60	112
-140	85	12	-1	74	34	-105	80
-9	41	-10	-7	96	40	-125	59
155	33	-25	-10	84	7	-133	40
281	-23	-7	12	82	1	-146	9
392	-25	-10	9	68	20	-129	18
465	-23	-29	-22	21	9	-134	-1
439	-23	-1	-18	41	10	-159	-11
294	-1	13	-33	41	25	-139	-32
132	-17	-9	-51	46	7	-146	-31
78	-4	-6	-54	31	-6	-167	-78
-49	-19	-20	-20	8	-3	-167	-75
-228	5	0	2	25	-12	-171	-44
-392	26	10	7	5	6	-171	-95
-632	2	-3	7	5	4	-203	-64
-870	37	-4	-14	-24	7	-188	-78
-936	42	0	-21	-48	12	-190	-92
-742	12	-9	-28	-15	12	-197	-66
-623	-41	-1	-25	-9	17	-167	-58
-379	-47	-1	-11	9	16	-200	-46
-13	8	-9	-20	-10	47	-220	-73
313	-10	12	-21	-10	32	-212	-54
559	-36	10	-13	-41	49	-252	-41
